ambiguous;uncertain, variably interpretable;(Some people think Caesar married Cleopatra for her power, others believe he was charmed by her beauty. His actual reasons are ambiguous.)
ambivalent;having opposing feelings;(My feelings about Calvin are ambivalent because on one hand he is a loyal friend, but on the other, he is a cruel and vicious thief.)
ameliorate; to improve;(The tense situation was ameliorated when Sam proposed a solution everyone could agree upon.);
amenable;willing, compliant;(Our father was amenable when we asked him to drive us to the farm so we could go apple picking.)
amenity;an item that increases comfort;(Bill Gates’s house is stocked with so many amenities, he never has to do anything for himself.)
amiable;friendly;(An amiable fellow, Harry got along with just about everyone.)
amicable;friendly;(Claudia and Jimmy got divorced, but amicably and without hard feelings.)
amorous;showing love, particularly sexual;(Whenever Albert saw Mariah wear her slinky red dress, he began to feel quite amorous.)
amorphous;without definite shape or type;(The effort was doomed from the start, because the reasons behind it were so amorphous and hard to pin down.)
anachronistic;being out of correct chronological order;(In this book you’re writing, you say that the Pyramids were built after the Titanic sank, which is anachronistic.)
analgesic; something that reduces pain;(Put this analgesic on the wound so that the poor man at least feels a little better.);
analogous;similar to, so that an analogy can be drawn;(Though they are unrelated genetically, the bone structure of whales and fish is quite analogous.)
anarchist;one who wants to eliminate all government;(An anarchist, Carmine wanted to dissolve every government everywhere.)
anathema;a cursed, detested person;(I never want to see that murderer. He is an anathema to me.)
anecdote;a short, humorous account;(After dinner, Marlon told an anecdote about the time he got his nose stuck in a toaster.)
anesthesia;loss of sensation;(When the nerves in his spine were damaged, Mr. Hollins suffered anesthesia in his legs.)
anguish;extreme sadness, torment;(Angelos suffered terrible anguish when he learned that Buffy had died while combating a strange mystical force of evil.)
animated;lively;(When he begins to talk about drama, which is his true passion, he becomes very animated.)
annul;to make void or invalid;(After seeing its unforeseen and catastrophic effects, Congress sought to annul the law.)
anomaly;something that does not fit into the normal order;(“That rip in the spacetime continuum is certainly a spatial anomaly,” said Spock to Captain Kirk.)
anonymous;being unknown, unrecognized;(Mary received a love poem from an anonymous admirer.)
antagonism;hostility;(Superman and Bizarro Superman shared a mutual antagonism, and often fought.)
antecedent; something that came before;(The great tradition of Western culture had its antecedent in the culture of Ancient Greece.);
anthology;a selected collection of writings, songs, etc.;(The new anthology of Bob Dylan songs contains all his greatest hits and a few songs that you might never have heard before.)
antipathy;a strong dislike, repugnance;(I know you love me, but because you are a liar and a thief, I feel nothing but antipathy for you.)
antiquated;old, out of date;(That antiquated car has none of the features, like power windows and steering, that make modern cars so great.)
antiseptic;clean, sterile;(The antiseptic hospital was very bare, but its cleanliness helped to keep patients healthy.)
antediluvian; ancient;(The antediluvian man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.);
antithesis;the absolute opposite;(Your values, which hold war and violence in the highest esteem, are the antithesis of my pacifist beliefs.)
anxiety;intense uneasiness;(When he heard about the car crash, he felt anxiety because he knew that his girlfriend had been driving on the road where the accident occurred.)
apathetic;lacking concern, emotion;(Uninterested in politics, Bruno was apathetic about whether he lived under a capitalist or communist regime.)
apocryphal;fictitious, false, wrong;(Because I am standing before you, it seems obvious that the stories circulating about my demise were apocryphal.)
appalling;inspiring shock, horror, disgust;(The judge found the murderer’s crimes and lack of remorse appalling.)
appease;to calm, satisfy;(When the child cries, the mother gives him candy to appease him.)
appraise; to assess the worth or value of;(A realtor will come over tonight to appraise our house.);
approbation; praise;(The crowd welcomed the heroes with approbation.);
appropriate;to take, make use of;(The government appropriated the farmer’s land without justification.)
aquatic; relating to water;(The marine biologist studies starfish and other aquatic creatures.);
arable; suitable for growing crops;(The farmer purchased a plot of arable land on which he will grow corn and sprouts.);
arbiter;one who can resolve a dispute, make a decision;(The divorce court judge will serve as the arbiter between the estranged husband and wife.)
arbitrary; based on factors that appear random;(The boy’s decision to choose one college over another seems arbitrary.);
arbitration; the process or act of resolving a dispute;(The employee sought official arbitration when he could not resolve a disagreement with his supervisor.);
arboreal;of or relating to trees;(Leaves, roots, and bark are a few arboreal traits.)
arcane;obscure, secret, known only by a few;(The professor is an expert in arcane Lithuanian literature.)
archaic;of or relating to an earlier period in time, outdated;(In a few select regions of Western Mongolian, an archaic Chinese dialect is still spoken.)
archetypal;the most representative or typical example of something;(Some believe George Washington, with his flowing white hair and commanding stature, was the archetypal politician.)
ardor;extreme vigor, energy, enthusiasm;(The soldiers conveyed their ardor with impassioned battle cries.)
arid; excessively dry;(Little other than palm trees and cacti grow successfully in arid environments.);
arrogate; to take without justification;(The king arrogated the right to order executions to himself exclusively.);
artifact; a remaining piece from an extinct culture or place;(The scientists spent all day searching the cave for artifacts from the ancient Mayan civilization.);
artisan; a craftsman;(The artisan uses wood to make walking sticks.);
ascertain;to perceive, learn;(With a bit of research, the student ascertained that some plants can live for weeks without water.)
ascetic;practicing restraint as a means of self-discipline, usually religious;(The priest lives an ascetic life devoid of television, savory foods, and other pleasures.)
ascribe;to assign, credit, attribute to;(Some ascribe the invention of fireworks and dynamite to the Chinese.)
aspire;to long for, aim toward;(The young poet aspires to publish a book of verse someday.)
assail;to attack;(At dawn, the war planes assailed the boats in the harbor.)
assess; to evaluate;(A crew arrived to assess the damage after the crash.);
assiduous;hard-working, diligent;(The construction workers erected the skyscraper during two years of assiduous labor.)
assuage;to ease, pacify;(The mother held the baby to assuage its fears.)
aspersion;a curse, expression of ill-will;(The rival politicians repeatedly cast aspersions on each others’ integrity.)
astute;very clever, crafty;(Much of Roger’s success in politics results from his ability to provide astute answers to reporters’ questions.)
atone;to repent, make amends;(The man atoned for forgetting his wife’s birthday by buying her five dozen roses.)
atrophy;to wither away, decay;(If muscles do not receive enough blood, they will soon atrophy and die.)
attain;to achieve, arrive at;(The athletes strived to attain their best times in competition.)
atypical;not typical, unusual;(Screaming and crying is atypical adult behavior.)
audacious; excessively bold;(The security guard was shocked by the fan’s audacious attempt to offer him a bribe.);
audible; able to be heard;(The missing person’s shouts were unfortunately not audible.);
augment;to add to, expand;(The eager student seeks to augment his knowledge of French vocabulary by reading French literature.)
auspicious;favorable, indicative of good things;(The tennis player considered the sunny forecast an auspicious sign that she would win her match.)
austere;very bare, bleak;(The austere furniture inside the abandoned house made the place feel haunted.)
avarice; excessive greed;(The banker’s avarice led him to amass a tremendous personal fortune.);
avenge; to seek revenge;(The victims will take justice into their own hands and strive to avenge themselves against the men who robbed them.);
aversion;a particular dislike for something;(Because he’s from Hawaii, Ben has an aversion to autumn, winter, and cold climates in general.)
balk;to stop, block abruptly;(Edna’s boss balked at her request for another raise.)
ballad; a love song;(Greta’s boyfriend played her a ballad on the guitar during their walk through the dark woods.);
banal;dull, commonplace;(The client rejected our proposal because they found our presentation banal and unimpressive.)
bane; a burden;(Advanced physics is the bane of many students’ academic lives.);
bard;a poet, often a singer as well;(Shakespeare is often considered the greatest bard in the history of the English language.)
bashful;shy, excessively timid;(Frankie’s mother told him not to be bashful when he refused to attend the birthday party.)
beguile;to trick, deceive;(The thief beguiled his partners into surrendering all of their money to him.)
behemoth; something of tremendous power or size;(The new aircraft carrier is among several behemoths that the Air Force has added to its fleet.);
benevolent; marked by goodness or doing good;(Police officers should be commended for their benevolent service to the community.);
bequeath;to pass on, give;(Jon’s father bequeathed his entire estate to his mother.)
berate; to scold vehemently;(The angry boss berated his employees for failing to meet their deadline.);
bereft;devoid of, without;(His family was bereft of food and shelter following the tornado.)
beseech;to beg, plead, implore;(The servant beseeched the king for food to feed his starving family.)
bias;a tendency, inclination, prejudice;(The judge’s hidden bias against smokers led him to make an unfair decision.)
benign;favorable, not threatening, mild;(We were all relieved to hear that the medical tests determined her tumor to be benign.)
bilk;cheat, defraud;(The lawyer discovered that this firm had bilked several clients out of thousands of dollars.)
blandish; to coax by using flattery;(Rachel’s assistant tried to blandish her into accepting the deal.);
blemish;an imperfection, flaw;(The dealer agreed to lower the price because of the many blemishes on the surface of the wooden furniture.)
boisterous; loud and full of energy;(The candidate won the vote after giving several boisterous speeches on television.);
bombastic;excessively confident, pompous;(The singer’s bombastic performance disgusted the crowd.)
boon; a gift or blessing;(The good weather has been a boon for many businesses located near the beach.);
bourgeois;a middle-class person, capitalist;(Many businessmen receive criticism for their bourgeois approach to life.)
brazen;excessively bold, brash;(Critics condemned the novelist’s brazen attempt to plagiarize Hemingway’s story.)
brusque;short, abrupt, dismissive;(The captain’s brusque manner offended the passengers.)
burnish;to polish, shine;(His mother asked him to burnish the silverware before setting the table.)
cacophony;tremendous noise, disharmonious sound;(The elementary school orchestra created a cacophony at the recital.)
cadence;a rhythm, progression of sound;(The pianist used the foot pedal to emphasize the cadence of the sonata.)
cajole;to urge, coax;(Fred’s buddies cajoled him into attending the bachelor party.)
calamity; an event with disastrous consequences;(The earthquake in San Francisco was a calamity worse than any other natural disaster in history.);
calibrate;to set, standardize;(The mechanic calibrated the car’s transmission to make the motor run most efficiently.)
callous;harsh, cold, unfeeling;(The murderer’s callous lack of remorse shocked the jury.)
calumny; an attempt to spoil someone else’s reputation by spreading lies;(The local official’s calumny ended up ruining his opponent’s prospect of winning the election.);
camaraderie;brotherhood, jovial unity;(Camaraderie among employees usually leads to success in business.)
candor;honesty, frankness;(We were surprised by the candor of the mayor’s speech because he is usually rather evasive.)
canny;shrewd, careful;(The canny runner hung at the back of the pack through much of the race to watch the other runners, and then sprinted past them at the end.)
capacious; very spacious;(The workers delighted in their new capacious office space.);
capricious;subject to whim, fickle;(The young girl’s capricious tendencies made it difficult for her to focus on achieving her goals.)
captivate;to get the attention of, hold;(The fireworks captivated the young boy, who had never seen such things before.)
carouse;to party, celebrate;(We caroused all night after getting married.)
carp;to annoy, pester;(The husband divorced his wife after listening to her carping voice for decades.)
capitulate; to surrender;(The army finally capitulated after fighting a long costly battle.);
catalyze;to charge, inspire;(The president’s speech catalyzed the nation and resuscitated the economy.)
caucus; a meeting usually held by people working toward the same goal;(The ironworkers held a caucus to determine how much of a pay increase they would request.);
caustic;bitter, biting, acidic;(The politicians exchanged caustic insults for over an hour during the debate.)
cavort;to leap about, behave boisterously;(The adults ate their dinners on the patio, while the children cavorted around the pool.)
cerebral; related to the intellect;(The books we read in this class are too cerebral— they don’t engage my emotions at all.);
chaos; absolute disorder;(Mr. Thornton’s sudden departure for the lavatory plunged his classroom into chaos.);
chastise;to criticize severely;(After being chastised by her peers for mimicking Britney Spears, Miranda dyed her hair black and affected a Gothic style.)
cherish;to feel or show affection toward something;(She continued to cherish her red plaid trousers, even though they had gone out of style and no longer fit her.)
chide; to voice disapproval;(Lucy chided Russell for his vulgar habits and sloppy appearance.);
choreography;the arrangement of dances;(The plot of the musical was banal, but the choreography was stunning.)
chronological;arranged in order of time;(Lionel carefully arranged the snapshots of his former girlfriends in chronological order, and then set fire to them.)
circuitous; roundabout;(The bus’s circuitous route took us through numerous outlying suburbs.);
circumlocution; indirect and wordy language;(The professor’s habit of speaking in circumlocutions made it difficult to follow his lectures.);
circumscribed;marked off, bounded;(The children were permitted to play tag only within a carefully circumscribed area of the lawn.)
circumspect;cautious;(Though I promised Rachel’s father I would bring her home promptly by midnight, it would have been more circumspect not to have specified a time.)
circumvent;to get around;(The school’s dress code forbidding navel-baring jeans was circumvented by the determined students, who were careful to cover up with long coats when administrators were nearby.)
clairvoyant; able to perceive things that normal people cannot;(Zelda’s uncanny ability to detect my lies was nothing short of clairvoyant.);
clandestine;secret;(Announcing to her boyfriend that she was going to the gym, Sophie actually went to meet Joseph for a clandestine liaison.)
clergy;members of Christian holy orders;(Though the villagers viewed the church rectory as quaint and charming, the clergy who lived there regarded it as a mildewy and dusty place that aggravated their allergies.)
cloying;sickeningly sweet;(Though Ronald was physically attractive, Maud found his constant compliments and solicitous remarks cloying.)
coagulate;to thicken, clot;(The top layer of the pudding had coagulated into a thick skin.)
clemency;mercy;(After he forgot their anniversary, Martin could only beg Maria for clemency.)
coalesce; to fuse into a whole;(Gordon’s ensemble of thrift-shop garments coalesced into a surprisingly handsome outfit.);
cobbler; a person who makes or repairs shoes;(I had my neighborhood cobbler replace my worn-out leather soles with new ones.);
coerce; to make somebody do something by force or threat;(The court decided that Vanilla Ice did not have to honor the contract because he had been coerced into signing it.);
cogent; intellectually convincing;(Irene’s arguments in favor of abstinence were so cogent that I could not resist them.);
cognizant;aware, mindful;(Jake avoided speaking to women in bars because he was cognizant of the fact that drinking impairs his judgment.)
coherent;logically consistent, intelligible;(Renee could not figure out what Monroe had seen because he was too distraught to deliver a coherent statement.)
colloquial; characteristic of informal conversation;(Adam’s essay on sexual response in primates was marked down because it contained too many colloquial expressions.);
collusion;secret agreement, conspiracy;(The three law students worked in collusion to steal the final exam.)
colossus;a gigantic statue or thing;(For 56 years, the ancient city of Rhodes featured a colossus standing astride its harbor.)
combustion; the act or process of burning;(The unexpected combustion of the prosecution’s evidence forced the judge to dismiss the case against Ramirez.);
commendation;a notice of approval or recognition;(Jared received a commendation from Linda, his supervisor, for his stellar performance.)
commensurate; corresponding in size or amount;(Ahab selected a very long roll and proceeded to prepare a tuna salad sandwich commensurate with his enormous appetite.);
commodious;roomy;(Holden invited the three women to join him in the back seat of the taxicab, assuring them that the car was quite commodious.)
compelling;forceful, demanding attention;(Eliot’s speech was so compelling that Lenore accepted his proposal on the spot.)
compensate; to make an appropriate payment for something;(Reginald bought Sharona a new dress to compensate her for the one he’d spilled his ice cream on.);
complacency; self-satisfied ignorance of danger;(Colin tried to shock his friends out of their complacency by painting a frightening picture of what might happen to them.);
complement;to complete, make perfect;(Ann’s scarf complements her blouse beautifully, making her seem fully dressed even though she isn’t wearing a coat.)
compliant;ready to adapt oneself to another’s wishes;(Sue had very strong opinions about what to do on a first date, and Ted was absolutely compliant.)
complicit;being an accomplice in a wrongful act;(By keeping her daughter’s affair a secret, Maddie became complicit in it.)
compliment; an expression of esteem or approval;(I blushed crimson when Emma gave me a compliment on my new haircut.);
compress;to apply pressure, squeeze together;(Lynn compressed her lips into a frown.)
compunction; distress caused by feeling guilty;(He felt compunction for the shabby way he’d treated her.);
concede; to accept as valid;(Andrew had to concede that what his mother said about Diana made sense.);
conciliatory;friendly, agreeable;(I took Amanda’s invitation to dinner as a very conciliatory gesture.)
comprehensive; including everything;(She sent me a comprehensive list of the ingredients needed to cook rabbit soufflé.);
concise;brief and direct in expression;(Gordon did not like to waste time, and his instructions to Brenda were nothing if not concise.)
concoct;to fabricate, make up;(She concocted the most ridiculous story to explain her absence.)
concomitant; accompanying in a subordinate fashion;(His dislike of hard work carried with it a concomitant lack of funds.);
concord;harmonious agreement;(Julie and Harold began the evening with a disagreement, but ended it in a state of perfect concord.)
condolence; an expression of sympathy in sorrow;(Brian lamely offered his condolences on the loss of his sister’s roommate’s cat.);
condone;to pardon, deliberately overlook;(He refused to condone his brother’s crime.)
conduit; a pipe or channel through which something passes;(The water flowed through the conduit into the container.);
confection;a sweet, fancy food;(We went to the mall food court and purchased a delicious confection.)
confidant;a person entrusted with secrets;(Shortly after we met, she became my chief confidant.)
conflagration; great fire;(The conflagration consumed the entire building.);
confluence; a gathering together;(A confluence of different factors made tonight the perfect night.);
conformist; one who behaves the same as others;(Julian was such a conformist that he had to wait and see if his friends would do something before he would commit.);
confound;to frustrate, confuse;(MacGuyver confounded the policemen pursuing him by covering his tracks.)
congeal; to thicken into a solid;(The sauce had congealed into a thick paste.);
congenial; pleasantly agreeable;(His congenial manner made him popular wherever he went.);
congregation;a gathering of people, especially for religious services;(The priest told the congregation that he would be retiring.)
congruity; the quality of being in agreement;(Bill and Veronica achieved a perfect congruity of opinion.);
connive;to plot, scheme;(She connived to get me to give up my vacation plans.)
consecrate; to dedicate something to a holy purpose;(Arvin consecrated his spare bedroom as a shrine to Christina.);
consensus; an agreement of opinion;(The jury was able to reach a consensus only after days of deliberation.);
consign;to give something over to another’s care;(Unwillingly, he consigned his mother to a nursing home.)
consolation; an act of comforting;(Darren found Alexandra’s presence to be a consolation for his suffering.);
consonant; in harmony;(The singers’ consonant voices were beautiful.);
constituent; an essential part;(The most important constituent of her perfume is something called ambergris.);
constrain; to forcibly restrict;(His belief in nonviolence constrained him from taking revenge on his attackers.);
construe; to interpret;(He construed her throwing his clothes out the window as a signal that she wanted him to leave.);
consummate; to complete a deal;to complete a marriage ceremony through sexual intercourse;(Erica and Donald consummated their agreement in the executive boardroom.)
consumption; the act of consuming;(Consumption of intoxicating beverages is not permitted on these premises.);
contentious; having a tendency to quarrel or dispute;(George’s contentious personality made him unpopular with his classmates.);
contravene;to contradict, oppose, violate;(Edwidge contravened his landlady’s rule against overnight guests.)
contrite;penitent, eager to be forgiven;(Blake’s contrite behavior made it impossible to stay angry at him.)
contusion;bruise, injury;(The contusions on his face suggested he’d been in a fight.)
contemporaneous;existing during the same time;(Though her novels do not feature the themes of Romanticism, Jane Austen’s work was contemporaneous with that of Wordsworth and Byron.)
conundrum;puzzle, problem;(Interpreting Jane’s behavior was a constant conundrum.)
convene; to call together;(Jason convened his entire extended family for a discussion.);
convivial;characterized by feasting, drinking, merriment;(The restaurant’s convivial atmosphere put me immediately at ease.)
convoluted;intricate, complicated;(Grace’s story was so convoluted that I couldn’t follow it.)
copious;profuse, abundant;(Copious amounts of Snapple were imbibed in the cafeteria.)
cordial;warm, affectionate;(His cordial greeting melted my anger at once.)
coronation; the act of crowning;(The new king’s coronation occurred the day after his father’s death.);
corpulence;extreme fatness;(Henry’s corpulence did not make him any less attractive to his charming, svelte wife.)
corroborate; to support with evidence;(Luke’s seemingly outrageous claim was corroborated by witnesses.);
corrosive; having the tendency to erode or eat away;(The effect of the chemical was highly corrosive.);
cosmopolitan;sophisticated, worldly;(Lloyd’s education and upbringing were cosmopolitan, so he felt right at home among the powerful and learned.)
counteract;to neutralize, make ineffective;(The antidote counteracted the effect of the poison.)
covet;to desire enviously;(I coveted Moses’s house, wife, and car.)
covert;secretly engaged in;(Nerwin waged a covert campaign against his enemies, while outwardly appearing to remain friendly.)
credulity; readiness to believe;(His credulity made him an easy target for con men.);
crescendo; a steady increase in intensity or volume;(The crescendo of the brass instruments gave the piece a patriotic feel.);
criteria; standards by which something is judged;(Among Mrs. Fields’s criteria for good cookies are that they be moist and chewy.);
culmination; the climax toward which something progresses;(The culmination of the couple’s argument was the decision to divorce.);
culpable;deserving blame;(He was culpable of the crime, and was sentenced to perform community service for 75 years.)
cultivate;to nurture, improve, refine;(At the library, she cultivated her interest in spy novels.)
cumulative;increasing, building upon itself;(The cumulative effect of hours spent in the sun was a deep tan.)
cunning;sly, clever at being deceitful;(The general devised a cunning plan to surprise the enemy.)
cupidity;greed, strong desire;(His cupidity made him enter the abandoned gold mine despite the obvious dangers.)
cursory;brief to the point of being superficial;(Late for the meeting, she cast a cursory glance at the agenda.)
curtail;to lessen, reduce;(Since losing his job, he had to curtail his spending.)
daunting;intimidating, causing one to lose courage;(He kept delaying the daunting act of asking for a promotion.)
dearth;a lack, scarcity;(An eager reader, she was dismayed by the dearth of classic books at the library.)
debacle;a disastrous failure, disruption;(The elaborately designed fireworks show turned into a debacle when the fireworks started firing in random directions.)
curt; abruptly and rudely short;(Her curt reply to my question made me realize that she was upset at me.);
debase; to lower the quality or esteem of something;(The large raise that he gave himself debased his motives for running the charity.);
debauch; to corrupt by means of sensual pleasures;(An endless amount of good wine and cheese debauched the traveler.);
debunk; to expose the falseness of something;(He debunked her claim to be the world’s greatest chess player by defeating her in 18 consecutive matches.);
decorous;socially proper, appropriate;(The appreciative guest displayed decorous behavior toward his host.)
decry; to criticize openly;(The kind video rental clerk decried the policy of charging customers late fees.);
deface; to ruin or injure something’s appearance;(The brothers used eggs and shaving cream to deface their neighbor’s mailbox.);
defamatory; harmful toward another’s reputation;(The defamatory gossip spreading about the actor made the public less willing to see the actor’s new movie.);
defer;to postpone something;to yield to another’s wisdom
deferential; showing respect for another’s authority;(His deferential attitude toward her made her more confident in her ability to run the company.);
defile;to make unclean, impure;(She defiled the calm of the religious building by playing her banjo.)
deft;skillful, capable;(Having worked in a bakery for many years, Marcus was a deft bread maker.)
defunct; no longer used or existing;(They planned to turn the defunct schoolhouse into a community center.);
delegate; to hand over responsibility for something;(The dean delegated the task of finding a new professor to a special hiring committee.);
deleterious; harmful;(She experienced the deleterious effects of running a marathon without stretching her muscles enough beforehand.);
deliberate;intentional, reflecting careful consideration;(Though Mary was quite upset, her actions to resolve the dispute were deliberate.)
delineate;to describe, outline, shed light on;(She neatly delineated her reasons for canceling the project’s funding.)
demagogue; a leader who appeals to a people’s prejudices;(The demagogue strengthened his hold over his people by blaming immigrants for the lack of jobs.);
demarcation; the marking of boundaries or categories;(Different cultures have different demarcations of good and evil.);
demean; to lower the status or stature of something;(She refused to demean her secretary by making him order her lunch.);
demure;quiet, modest, reserved;(Though everyone else at the party was dancing and going crazy, she remained demure.)
denigrate;to belittle, diminish the opinion of;(The company decided that its advertisements would no longer denigrate the company’s competitors.)
denounce; to criticize publicly;(The senator denounced her opponent as a greedy politician.);
deplore;to feel or express sorrow, disapproval;(We all deplored the miserable working conditions in the factory.)
depravity; wickedness;(Rumors of the ogre’s depravity made the children afraid to enter the forest.);
deprecate;to belittle, depreciate;(Always over-modest, he deprecated his contribution to the local charity.)
derelict;abandoned, run-down;(Even though it was dangerous, the children enjoyed going to the deserted lot and playing in the derelict house.)
deride;to laugh at mockingly, scorn;(The bullies derided the foreign student’s accent.)
desecrate; to violate the sacredness of a thing or place;(They feared that the construction of a golf course would desecrate the preserved wilderness.);
desiccated;dried up, dehydrated;(The skin of the desiccated mummy looked like old paper.)
desolate;deserted, dreary, lifeless;(She found the desolate landscape quite a contrast to the hustle and bustle of the overcrowded city.)
derivative;taken directly from a source, unoriginal;(She was bored by his music because she felt that it was derivative and that she had heard it before.)
despondent;feeling depressed, discouraged, hopeless;(Having failed the first math test, the despondent child saw no use in studying for the next and failed that one too.)
despot; one who has total power and rules brutally;(The despot issued a death sentence for anyone who disobeyed his laws.);
destitute;impoverished, utterly lacking;(The hurricane destroyed many homes and left many families destitute.)
deter;to discourage, prevent from doing;(Bob’s description of scary snakes couldn’t deter Marcia from traveling in the rainforests.)
devious;not straightforward, deceitful;(Not wanting to be punished, the devious girl blamed the broken vase on the cat.)
dialect;a variation of a language;(In the country’s remote, mountainous regions, the inhabitants spoke a dialect that the country’s other inhabitants had difficulty understanding.)
diaphanous;light, airy, transparent;(Sunlight poured in through the diaphanous curtains, brightening the room.)
diffident;shy, quiet, modest;(While eating dinner with the adults, the diffident youth did not speak for fear of seeming presumptuous.)
